timestamp,model_name,batch_size,num_epochs,T,learning_rate,ot_loss_weight,n_shot,target_class,fid,kid,psnr,psnr_std,ssim,ssim_std,diversity,diversity_std,collapse_ratio,collapse_std,sharpness,sharpness_std,total_training_time,device
2025-10-01 19:14:06,Sinkhorn模型,18,50,200,0.001,0.1,50,8,21.61869239807129,0.6642539501190186,15.18210619688034,0.2183440697204162,-0.0036313366072135,0.0150871842602498,9.828665733337402,0.2683906853199005,1.518302321434021,0.0276027228683233,0,0,0.00秒,cpu
2025-10-01 19:14:06,基线模型,18,50,200,0.001,0.1,50,8,19.08444595336914,0.6140165328979492,15.447817146778108,0.1601814234974937,0.0097229232269455,0.0187511619801317,9.610108375549316,0.2749925255775451,1.5206469297409058,0.0484471842646598,0,0,0.00秒,cpu
2025-10-01 19:16:10,Sinkhorn模型,18,50,200,0.001,0.1,50,8,21.03647232055664,0.6510621905326843,14.949880599975586,0.161059553361807,0.0045295712334336,0.0137123832790074,10.175450325012209,0.2677232027053833,1.5128324031829834,0.0319968201220035,0,0,0.00秒,cpu
2025-10-01 19:16:10,基线模型,18,50,200,0.001,0.1,50,8,18.4371280670166,0.5881757736206055,15.289781212806702,0.1320161995555729,0.0008287192104035,0.0164069440870298,9.121091842651367,0.2529981136322021,1.6255614757537842,0.0505154430866241,0,0,0.00秒,cpu
2025-10-01 19:16:42,Sinkhorn模型,18,50,200,0.001,0.1,50,8,17.90877342224121,0.6376246809959412,15.113513231277466,0.2855367096476374,0.001612677027424,0.0187184434443028,9.590679168701172,0.3309805393218994,1.5919678211212158,0.0476214699447155,0,0,0.00秒,cpu
2025-10-01 19:16:42,基线模型,18,50,200,0.001,0.1,50,8,18.3962516784668,0.7278143167495728,15.023540377616882,0.2648467118058639,0.0009184342125081,0.0151173171235165,10.174668312072754,0.2774353325366974,1.4961864948272705,0.0534937418997287,0,0,0.00秒,cpu
2025-10-01 19:18:19,Sinkhorn模型,18,50,1000,0.001,0.1,50,8,19.370586395263672,0.6388570666313171,15.213074624538422,0.2306675705307466,0.004032835488033,0.0134984797704483,8.62146282196045,0.2516294717788696,1.737911820411682,0.0538915768265724,0,0,0.00秒,cpu
2025-10-01 19:18:19,基线模型,18,50,1000,0.001,0.1,50,8,15.787511825561523,0.6845715045928955,16.196694374084473,0.2594989049433438,0.0022287314659479,0.0149309352962863,7.876168727874756,0.2431190609931945,1.6933425664901731,0.0494499765336513,0,0,0.00秒,cpu
2025-10-01 19:19:56,Sinkhorn模型,20,50,1000,0.001,0.1,500,8,5.155458450317383,0.4658805131912231,19.186790823936462,0.43291141187865,0.0438098207814618,0.0325331760515084,6.283420085906982,0.3749015927314758,1.4843045473098757,0.0879778861999511,0,0,0.00秒,cpu
2025-10-01 19:19:56,基线模型,20,50,1000,0.001,0.1,500,8,5.90501880645752,0.4200480282306671,19.23365342617035,0.4690424853656251,0.0444679512002039,0.0237152255197339,5.8756256103515625,0.2971808016300201,1.5720735788345337,0.0665960609912872,0,0,0.00秒,cpu
2025-10-01 19:22:30,Sinkhorn模型,20,50,1000,0.001,0.1,500,8,15.16379451751709,0.6396635174751282,16.300134479999542,0.2783496035674408,-9.062492790690158e-05,0.0185029937111224,7.64471435546875,0.1758159697055816,1.6826810836791992,0.0502413026988506,0,0,0.00秒,cpu
2025-10-01 19:22:30,基线模型,20,50,1000,0.001,0.1,500,8,5.671327114105225,0.4058525860309601,18.790987491607662,0.4911780276068337,0.0372000601782929,0.0315106078240774,6.57532262802124,0.4130404889583587,1.4774973392486572,0.073866106569767,0,0,0.00秒,cpu
